"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","H.poly.EPG","EappINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7662","79786360","79786360-2012-09-11",30,30,2012-09-11,"HA1",2012,"F","Adult","0",1,0,1,0,0,6,0,1,16,0.0588235294117647,3,27,0.1,7,43,0.14,8,51,0.135593220338983,8,61,0.115942028985507,9,76,0.105882352941176,12,89,0.118811881188119,12,92,0.115384615384615,17,121,0.123188405797101,22,140,0.135802469135802,29,163,0.151041666666667,40,197,0.168776371308017,45,209,0.177165354330709,47,211,0.182170542635659,47,211,0.182170542635659
"7664","79786360","79786360-2012-08-30",30,0,2012-08-30,"HA1",2012,"F","Adult","0",0,0,2,0,1,7,0.125,2,10,0.166666666666667,3,15,0.166666666666667,3,28,0.0967741935483871,3,31,0.0882352941176471,3,38,0.0731707317073171,3,42,0.0666666666666667,5,50,0.0909090909090909,5,54,0.0847457627118644,7,76,0.0843373493975904,11,90,0.108910891089109,13,108,0.107438016528926,19,132,0.125827814569536,22,143,0.133333333333333,30,163,0.155440414507772,38,182,0.172727272727273
"7666","79786360","79786360-2012-10-09",20,10,2012-10-09,"HA1",2012,"F","Adult","0",0,1,4,0.2,2,20,0.0909090909090909,3,39,0.0714285714285714,3,46,0.0612244897959184,6,72,0.0769230769230769,6,78,0.0714285714285714,8,80,0.0909090909090909,11,93,0.105769230769231,11,101,0.0982142857142857,11,107,0.0932203389830508,15,137,0.0986842105263158,22,162,0.119565217391304,31,190,0.14027149321267,40,226,0.150375939849624,52,273,0.16,72,321,0.183206106870229,77,337,0.185990338164251
"7670","79786569","79786569-2012-09-27",60,100,2012-09-27,"HA1",2012,"M","Adult","0",1,4,2,0.666666666666667,5,11,0.3125,8,15,0.347826086956522,10,26,0.277777777777778,13,33,0.282608695652174,13,35,0.270833333333333,17,42,0.288135593220339,18,46,0.28125,18,51,0.260869565217391,18,59,0.233766233766234,33,90,0.268292682926829,44,125,0.260355029585799,51,152,0.251231527093596,57,179,0.241525423728814,60,217,0.216606498194946,65,243,0.211038961038961,66,272,0.195266272189349
"7671","79786569","79786569-2012-10-09",60,70,2012-10-09,"HA1",2012,"M","Adult","0",1,0,1,0,3,8,0.272727272727273,6,14,0.3,8,20,0.285714285714286,14,38,0.269230769230769,20,46,0.303030303030303,29,54,0.349397590361446,34,72,0.320754716981132,38,96,0.283582089552239,38,106,0.263888888888889,56,175,0.242424242424242,64,230,0.217687074829932,72,272,0.209302325581395,79,321,0.1975,80,333,0.193704600484261,80,340,0.19047619047619,80,340,0.19047619047619
"7672","79786569","79786569-2012-10-23",70,100,2012-10-23,"HA1",2012,"M","Adult","0",0,2,3,0.4,11,21,0.34375,12,30,0.285714285714286,14,37,0.274509803921569,17,45,0.274193548387097,18,52,0.257142857142857,21,60,0.259259259259259,29,67,0.302083333333333,37,80,0.316239316239316,43,90,0.323308270676692,52,121,0.300578034682081,61,143,0.299019607843137,73,200,0.267399267399267,84,256,0.247058823529412,91,301,0.232142857142857,100,347,0.223713646532438,105,385,0.214285714285714
"7674","79786569","79786569-2012-12-04",70,100,2012-12-04,"HA1",2012,"M","Adult","0.746268656716418",0,2,5,0.285714285714286,11,32,0.255813953488372,12,42,0.222222222222222,15,52,0.223880597014925,19,64,0.228915662650602,22,78,0.22,27,89,0.232758620689655,36,109,0.248275862068966,44,124,0.261904761904762,52,141,0.269430051813472,64,190,0.251968503937008,74,222,0.25,88,305,0.223918575063613,99,387,0.203703703703704,106,449,0.190990990990991,119,517,0.187106918238994,125,570,0.179856115107914
"7675","79786569","79786569-2012-11-20",60,90,2012-11-20,"HA1",2012,"M","Adult","0",0,0,4,0,11,19,0.366666666666667,16,34,0.32,22,42,0.34375,28,68,0.291666666666667,30,73,0.29126213592233,34,82,0.293103448275862,46,110,0.294871794871795,53,122,0.302857142857143,56,133,0.296296296296296,73,214,0.254355400696864,88,281,0.238482384823848,98,348,0.219730941704036,106,411,0.205029013539652,118,467,0.201709401709402,123,528,0.188940092165899,124,547,0.184798807749627
"7676","79786569","79786569-2012-12-19",50,50,2012-12-19,"HA1",2012,"M","Adult","0",0,1,1,0.5,5,16,0.238095238095238,11,27,0.289473684210526,12,49,0.19672131147541,20,78,0.204081632653061,23,91,0.201754385964912,27,110,0.197080291970803,36,146,0.197802197802198,42,179,0.190045248868778,43,191,0.183760683760684,84,372,0.184210526315789,110,595,0.156028368794326,124,658,0.158567774936061,130,688,0.158924205378973,130,688,0.158924205378973,130,688,0.158924205378973,130,688,0.158924205378973
"7679","79786569","79786569-2012-10-23",20,10,2012-10-23,"HA1",2012,"M","Adult","2.7027027027027",0,1,5,0.166666666666667,2,23,0.08,3,44,0.0638297872340425,5,53,0.0862068965517241,9,82,0.0989010989010989,9,91,0.09,12,93,0.114285714285714,15,107,0.122950819672131,15,118,0.112781954887218,16,124,0.114285714285714,22,158,0.122222222222222,30,192,0.135135135135135,41,224,0.154716981132075,55,266,0.171339563862928,73,323,0.184343434343434,97,381,0.202928870292887,103,401,0.204365079365079
"7703","79788371","79788371-2012-09-11",10,0,2012-09-11,"HA1",2012,"M","Adult","0",0,1,3,0.25,1,17,0.0555555555555556,2,23,0.08,2,29,0.0645161290322581,3,39,0.0714285714285714,3,42,0.0666666666666667,4,47,0.0784313725490196,4,50,0.0740740740740741,4,54,0.0689655172413793,5,58,0.0793650793650794,6,70,0.0789473684210526,10,92,0.0980392156862745,14,108,0.114754098360656,17,129,0.116438356164384,23,143,0.13855421686747,30,169,0.150753768844221,37,190,0.162995594713656
