"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","MHV","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"4835","79790568","79790568-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,0,1,2,0.333333333333333,2,8,0.2,4,11,0.266666666666667,5,17,0.227272727272727,7,24,0.225806451612903,7,24,0.225806451612903,8,27,0.228571428571429,11,29,0.275,11,33,0.25,13,34,0.276595744680851,18,48,0.272727272727273,21,55,0.276315789473684,23,65,0.261363636363636,30,77,0.280373831775701,31,103,0.23134328358209,34,129,0.208588957055215,37,143,0.205555555555556
"4841","79786569","79786569-2012-10-23",70,100,2012-10-23,"HA1",2012,"M","Adult",0,0,2,2,0.5,4,12,0.25,6,14,0.3,7,15,0.318181818181818,7,19,0.269230769230769,9,22,0.290322580645161,9,24,0.272727272727273,10,29,0.256410256410256,12,39,0.235294117647059,15,44,0.254237288135593,22,54,0.289473684210526,23,67,0.255555555555556,26,90,0.224137931034483,30,108,0.217391304347826,31,124,0.2,36,143,0.201117318435754,39,159,0.196969696969697
"4846","66872112","66872112-2012-10-23",10,70,2012-10-23,"HA1",2012,"M","Adult",1,0,0,1,0,0,8,0,0,13,0,0,16,0,1,25,0.0384615384615385,2,28,0.0666666666666667,2,34,0.0555555555555556,2,47,0.0408163265306122,5,53,0.0862068965517241,6,53,0.101694915254237,7,65,0.0972222222222222,16,87,0.155339805825243,24,103,0.188976377952756,29,124,0.189542483660131,35,140,0.2,39,162,0.194029850746269,41,166,0.198067632850242
"4854","67088839","67088839-2012-10-23",20,60,2012-10-23,"HA1",2012,"M","Adult",1,0,0,4,0,0,9,0,1,12,0.0769230769230769,1,15,0.0625,1,25,0.0384615384615385,1,31,0.03125,1,33,0.0294117647058824,2,39,0.0487804878048781,3,48,0.0588235294117647,7,51,0.120689655172414,17,78,0.178947368421053,22,103,0.176,29,123,0.190789473684211,36,140,0.204545454545455,39,164,0.192118226600985,41,167,0.197115384615385,41,167,0.197115384615385
"4856","67069635","67069635-2012-10-23",30,0,2012-10-23,"HA1",2012,"F","Adult",1,0,0,1,0,1,4,0.2,2,4,0.333333333333333,3,12,0.2,6,19,0.24,6,23,0.206896551724138,7,26,0.212121212121212,7,30,0.189189189189189,8,36,0.181818181818182,9,41,0.18,13,58,0.183098591549296,15,69,0.178571428571429,19,79,0.193877551020408,22,96,0.186440677966102,23,111,0.171641791044776,34,138,0.197674418604651,39,161,0.195
"4859","66828572","66828572-2012-10-23",50,0,2012-10-23,"HA1",2012,"M","Adult",1,0,0,3,0,1,4,0.2,1,5,0.166666666666667,2,11,0.153846153846154,3,17,0.15,3,19,0.136363636363636,3,21,0.125,6,22,0.214285714285714,8,25,0.242424242424242,9,30,0.230769230769231,14,55,0.202898550724638,19,78,0.195876288659794,22,92,0.192982456140351,24,100,0.193548387096774,28,120,0.189189189189189,32,139,0.187134502923977,41,164,0.2
"4862","67088367","67088367-2012-10-23",70,40,2012-10-23,"HA1",2012,"F","NotAdult",0,0,1,0,1,3,2,0.6,6,7,0.461538461538462,7,11,0.388888888888889,10,21,0.32258064516129,11,22,0.333333333333333,11,27,0.289473684210526,11,33,0.25,14,41,0.254545454545455,15,46,0.245901639344262,23,85,0.212962962962963,30,106,0.220588235294118,35,129,0.213414634146341,39,155,0.201030927835052,41,164,0.2,41,167,0.197115384615385,41,167,0.197115384615385
"4864","79638837","79638837-2012-10-23",100,90,2012-10-23,"HA1",2012,"M","Adult",0,1,1,2,0.333333333333333,2,8,0.2,4,11,0.266666666666667,5,17,0.227272727272727,7,24,0.225806451612903,7,24,0.225806451612903,8,27,0.228571428571429,11,29,0.275,11,33,0.25,13,34,0.276595744680851,18,48,0.272727272727273,21,55,0.276315789473684,23,65,0.261363636363636,30,77,0.280373831775701,31,103,0.23134328358209,34,129,0.208588957055215,37,143,0.205555555555556
"4865","79775849","79775849-2012-10-23",100,20,2012-10-23,"HA1",2012,"F","Adult",0,0,0,2,0,2,6,0.25,2,10,0.166666666666667,2,15,0.117647058823529,4,17,0.19047619047619,4,18,0.181818181818182,4,20,0.166666666666667,5,21,0.192307692307692,7,27,0.205882352941176,8,30,0.210526315789474,13,45,0.224137931034483,19,61,0.2375,23,70,0.247311827956989,25,84,0.229357798165138,32,112,0.222222222222222,36,133,0.21301775147929,40,149,0.211640211640212
"4908","79782524","79782524-2012-10-24",40,100,2012-10-24,"HA1",2012,"F","Adult",1,0,0,1,0,4,6,0.4,4,8,0.333333333333333,5,17,0.227272727272727,7,20,0.259259259259259,7,22,0.241379310344828,9,28,0.243243243243243,9,34,0.209302325581395,9,41,0.18,10,47,0.175438596491228,14,72,0.162790697674419,19,86,0.180952380952381,25,114,0.179856115107914,33,121,0.214285714285714,36,140,0.204545454545455,39,157,0.198979591836735,44,183,0.193832599118943
"4910","79797884","79797884-2012-10-24",30,80,2012-10-24,"HA1",2012,"M","Adult",0,0,0,0,NA,0,4,0,0,8,0,3,19,0.136363636363636,3,34,0.0810810810810811,4,38,0.0952380952380952,5,43,0.104166666666667,8,51,0.135593220338983,12,59,0.169014084507042,12,60,0.166666666666667,15,88,0.145631067961165,22,104,0.174603174603175,29,127,0.185897435897436,38,151,0.201058201058201,42,173,0.195348837209302,44,183,0.193832599118943,44,184,0.192982456140351
"4913","79789358","79789358-2012-10-24",0,60,2012-10-24,"HA1",2012,"M","Adult",1,0,0,0,NA,0,3,0,0,5,0,0,14,0,0,25,0,0,29,0,1,35,0.0277777777777778,3,40,0.0697674418604651,3,43,0.0652173913043478,3,49,0.0576923076923077,7,71,0.0897435897435897,14,87,0.138613861386139,20,105,0.16,26,125,0.172185430463576,31,143,0.17816091954023,38,156,0.195876288659794,42,180,0.189189189189189
"4919","79797793","79797793-2012-11-20",0,10,2012-11-20,"HA1",2012,"F","Adult",1,0,0,3,0,3,14,0.176470588235294,4,23,0.148148148148148,5,25,0.166666666666667,7,28,0.2,7,29,0.194444444444444,7,33,0.175,7,39,0.152173913043478,7,43,0.14,7,44,0.137254901960784,12,53,0.184615384615385,12,70,0.146341463414634,14,83,0.144329896907216,22,104,0.174603174603175,25,137,0.154320987654321,34,163,0.17258883248731,38,185,0.170403587443946
"4920","66872112","66872112-2012-11-20",0,60,2012-11-20,"HA1",2012,"M","Adult",1,0,0,1,0,0,4,0,0,6,0,0,15,0,0,26,0,0,30,0,1,36,0.027027027027027,5,42,0.106382978723404,5,46,0.0980392156862745,5,53,0.0862068965517241,9,84,0.0967741935483871,17,103,0.141666666666667,23,123,0.157534246575342,30,146,0.170454545454545,35,166,0.174129353233831,42,182,0.1875,47,210,0.182879377431907
