"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","BartAny","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7425","79775849","79775849-2012-11-20",80,40,2012-11-20,"HA1",2012,"F","Adult",0,0,1,5,0.166666666666667,4,18,0.181818181818182,7,36,0.162790697674419,11,59,0.157142857142857,16,95,0.144144144144144,21,114,0.155555555555556,24,125,0.161073825503356,28,147,0.16,38,175,0.178403755868545,39,189,0.171052631578947,50,262,0.16025641025641,61,341,0.151741293532338,76,423,0.152304609218437,94,510,0.155629139072848,106,603,0.14950634696756,109,625,0.14850136239782,109,625,0.14850136239782
"7455","79776883","79776883-2012-10-24",100,90,2012-10-24,"HA1",2012,"M","Adult",1,0,2,6,0.25,5,17,0.227272727272727,6,25,0.193548387096774,9,33,0.214285714285714,12,51,0.19047619047619,12,54,0.181818181818182,14,66,0.175,14,80,0.148936170212766,15,89,0.144230769230769,16,94,0.145454545454545,25,133,0.158227848101266,30,160,0.157894736842105,38,196,0.162393162393162,51,246,0.171717171717172,63,309,0.169354838709677,78,375,0.172185430463576,85,428,0.165692007797271
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",1,0,1,4,0.2,6,28,0.176470588235294,11,53,0.171875,11,66,0.142857142857143,15,98,0.132743362831858,15,112,0.118110236220472,16,117,0.120300751879699,18,129,0.122448979591837,23,144,0.137724550898204,26,151,0.146892655367232,34,187,0.153846153846154,42,231,0.153846153846154,55,292,0.15850144092219,74,359,0.170900692840647,90,435,0.171428571428571,101,514,0.164227642276423,102,547,0.157164869029276
"7493","79778567","79778567-2012-10-10",10,0,2012-10-10,"HA1",2012,"F","Adult",1,0,0,5,0,2,20,0.0909090909090909,4,30,0.117647058823529,4,42,0.0869565217391304,4,59,0.0634920634920635,5,63,0.0735294117647059,6,71,0.0779220779220779,7,79,0.0813953488372093,7,86,0.0752688172043011,9,92,0.0891089108910891,12,119,0.0916030534351145,19,153,0.11046511627907,27,187,0.126168224299065,38,219,0.147859922178988,46,256,0.152317880794702,58,318,0.154255319148936,69,368,0.157894736842105
"7512","79779379","79779379-2012-08-28",100,20,2012-08-28,"HA1",2012,"M","Adult",1,1,0,4,0,3,11,0.214285714285714,4,13,0.235294117647059,4,14,0.222222222222222,4,19,0.173913043478261,4,23,0.148148148148148,4,23,0.148148148148148,4,27,0.129032258064516,6,30,0.166666666666667,7,30,0.189189189189189,9,40,0.183673469387755,12,60,0.166666666666667,12,72,0.142857142857143,14,91,0.133333333333333,19,122,0.134751773049645,22,149,0.128654970760234,26,172,0.131313131313131
"7545","79781605","79781605-2012-10-09",60,40,2012-10-09,"HA1",2012,"F","Adult",1,0,0,2,0,2,9,0.181818181818182,4,15,0.210526315789474,8,25,0.242424242424242,9,45,0.166666666666667,12,59,0.169014084507042,14,67,0.172839506172839,16,86,0.156862745098039,18,102,0.15,19,113,0.143939393939394,39,209,0.157258064516129,54,277,0.163141993957704,68,346,0.164251207729469,74,375,0.164810690423163,75,382,0.164113785557987,75,382,0.164113785557987,75,382,0.164113785557987
"7562","79782524","79782524-2012-10-24",40,100,2012-10-24,"HA1",2012,"F","Adult",1,0,1,7,0.125,7,23,0.233333333333333,8,27,0.228571428571429,11,41,0.211538461538462,13,50,0.206349206349206,13,56,0.188405797101449,14,68,0.170731707317073,18,87,0.171428571428571,23,102,0.184,26,121,0.17687074829932,42,192,0.179487179487179,51,238,0.176470588235294,65,294,0.181058495821727,71,335,0.17487684729064,77,397,0.162447257383966,84,446,0.158490566037736,91,499,0.154237288135593
"7563","79782524","79782524-2012-11-07",80,70,2012-11-07,"HA1",2012,"F","Adult",0,0,0,4,0,3,26,0.103448275862069,4,46,0.08,8,64,0.111111111111111,18,101,0.151260504201681,21,118,0.151079136690647,23,131,0.149350649350649,27,153,0.15,32,174,0.155339805825243,33,178,0.156398104265403,44,241,0.154385964912281,58,306,0.159340659340659,75,370,0.168539325842697,93,444,0.173184357541899,101,522,0.162118780096308,102,564,0.153153153153153,103,573,0.152366863905325
"7565","79782524","79782524-2012-11-21",100,100,2012-11-21,"HA1",2012,"F","Adult",0,0,0,2,0,2,16,0.111111111111111,3,19,0.136363636363636,6,41,0.127659574468085,9,54,0.142857142857143,9,59,0.132352941176471,12,72,0.142857142857143,16,89,0.152380952380952,17,97,0.149122807017544,18,109,0.141732283464567,20,155,0.114285714285714,31,192,0.139013452914798,44,237,0.156583629893238,54,290,0.156976744186047,73,364,0.167048054919908,94,453,0.171846435100548,105,509,0.171009771986971
"7566","79782524","79782524-2012-12-18",90,90,2012-12-18,"HA1",2012,"F","Adult",1,1,1,4,0.2,9,36,0.2,14,73,0.160919540229885,18,92,0.163636363636364,23,118,0.163120567375887,23,124,0.156462585034014,24,140,0.146341463414634,27,165,0.140625,28,179,0.135265700483092,30,186,0.138888888888889,42,222,0.159090909090909,53,270,0.164086687306502,66,331,0.16624685138539,86,423,0.168958742632613,109,523,0.17246835443038,123,626,0.164218958611482,129,672,0.161048689138577
