"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","Tryps","HpolINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"7370","79772013","79772013-2012-11-07",30,50,2012-11-07,"HA1",2012,"M","Adult",0,"0",4,2,0.666666666666667,4,24,0.142857142857143,7,42,0.142857142857143,9,49,0.155172413793103,17,75,0.184782608695652,24,93,0.205128205128205,27,100,0.21259842519685,32,133,0.193939393939394,42,169,0.199052132701422,44,182,0.194690265486726,64,294,0.17877094972067,85,383,0.181623931623932,91,432,0.173996175908222,101,491,0.170608108108108,106,512,0.171521035598705,106,512,0.171521035598705,106,512,0.171521035598705
"7371","79772013","79772013-2012-11-21",0,90,2012-11-21,"HA1",2012,"M","Adult",1,"1",1,8,0.111111111111111,7,28,0.2,9,43,0.173076923076923,9,50,0.152542372881356,15,67,0.182926829268293,16,74,0.177777777777778,20,83,0.194174757281553,26,101,0.204724409448819,29,110,0.20863309352518,32,114,0.219178082191781,38,158,0.193877551020408,51,195,0.207317073170732,57,255,0.182692307692308,66,323,0.169665809768638,86,395,0.178794178794179,101,477,0.174740484429066,107,521,0.170382165605096
"7372","79772013","79772013-2012-12-04",10,20,2012-12-04,"HA1",2012,"M","Adult",0,"1",3,7,0.3,8,43,0.156862745098039,16,67,0.192771084337349,18,83,0.178217821782178,22,114,0.161764705882353,22,132,0.142857142857143,23,141,0.140243902439024,30,151,0.165745856353591,35,158,0.181347150259067,40,164,0.196078431372549,53,222,0.192727272727273,62,264,0.190184049079755,74,311,0.192207792207792,86,379,0.18494623655914,106,464,0.185964912280702,123,552,0.182222222222222,129,581,0.18169014084507
"7401","79774854","79774854-2012-08-29",50,50,2012-08-29,"HA1",2012,"F","Adult",0,"0",0,0,NA,1,7,0.125,1,11,0.0833333333333333,5,13,0.277777777777778,5,19,0.208333333333333,7,22,0.241379310344828,8,28,0.222222222222222,11,37,0.229166666666667,14,43,0.245614035087719,14,47,0.229508196721311,32,85,0.273504273504274,48,140,0.25531914893617,51,155,0.247572815533981,53,159,0.25,53,159,0.25,53,159,0.25,53,159,0.25
"7421","79775849","79775849-2012-09-27",90,30,2012-09-27,"HA1",2012,"F","Adult",0,"1",1,2,0.333333333333333,4,11,0.266666666666667,7,19,0.269230769230769,8,21,0.275862068965517,10,30,0.25,12,32,0.272727272727273,13,37,0.26,15,43,0.258620689655172,16,53,0.231884057971014,19,58,0.246753246753247,22,80,0.215686274509804,27,105,0.204545454545455,36,138,0.206896551724138,44,185,0.192139737991266,59,223,0.209219858156028,69,264,0.207207207207207,70,273,0.204081632653061
"7422","79775849","79775849-2012-10-09",100,40,2012-10-09,"HA1",2012,"F","Adult",0,"0",0,4,0,2,13,0.133333333333333,4,18,0.181818181818182,6,25,0.193548387096774,8,33,0.195121951219512,10,37,0.212765957446809,14,45,0.23728813559322,18,53,0.253521126760563,19,62,0.234567901234568,21,70,0.230769230769231,25,109,0.186567164179104,34,131,0.206060606060606,44,162,0.213592233009709,53,193,0.215447154471545,58,236,0.197278911564626,70,288,0.195530726256983,82,327,0.200488997555012
"7423","79775849","79775849-2012-10-23",100,20,2012-10-23,"HA1",2012,"F","Adult",0,"0",1,5,0.166666666666667,6,19,0.24,9,24,0.272727272727273,10,39,0.204081632653061,13,45,0.224137931034483,14,50,0.21875,14,54,0.205882352941176,17,58,0.226666666666667,18,66,0.214285714285714,19,73,0.206521739130435,26,102,0.203125,32,143,0.182857142857143,39,173,0.183962264150943,48,223,0.177121771217712,60,283,0.174927113702624,70,338,0.17156862745098,82,389,0.174097664543524
"7425","79775849","79775849-2012-11-20",80,40,2012-11-20,"HA1",2012,"F","Adult",0,"0",1,4,0.2,4,16,0.2,9,32,0.219512195121951,12,50,0.193548387096774,15,87,0.147058823529412,18,106,0.145161290322581,18,119,0.131386861313869,25,136,0.15527950310559,34,160,0.175257731958763,36,172,0.173076923076923,46,240,0.160839160839161,62,304,0.169398907103825,72,384,0.157894736842105,89,464,0.160940325497288,109,540,0.167950693374422,111,560,0.165424739195231,111,560,0.165424739195231
"7455","79776883","79776883-2012-10-24",100,90,2012-10-24,"HA1",2012,"M","Adult",0,"0",0,7,0,2,18,0.1,2,27,0.0689655172413793,3,37,0.075,8,52,0.133333333333333,8,55,0.126984126984127,9,67,0.118421052631579,10,80,0.111111111111111,11,85,0.114583333333333,13,88,0.128712871287129,17,130,0.115646258503401,27,150,0.152542372881356,36,182,0.165137614678899,45,229,0.164233576642336,63,281,0.183139534883721,75,343,0.179425837320574,84,387,0.178343949044586
"7456","79776883","79776883-2012-11-07",90,80,2012-11-07,"HA1",2012,"M","Adult",1,"0",0,5,0,5,26,0.161290322580645,8,51,0.135593220338983,8,64,0.111111111111111,12,88,0.12,14,99,0.123893805309735,15,104,0.126050420168067,18,113,0.137404580152672,19,132,0.125827814569536,21,140,0.130434782608696,30,171,0.149253731343284,37,214,0.147410358565737,53,267,0.165625,68,329,0.171284634760705,85,394,0.177453027139875,98,464,0.174377224199288,103,489,0.173986486486486
