"","ID","ID.CapDate","lat","long","Capture.date","Grid","year","Sex","Age","EappInt","EhungINF","NoInf_0","NoUninf_0","Prev_0","NoInf_10","NoUninf_10","Prev_10","NoInf_14.1","NoUninf_14.1","Prev_14.1","NoInf_20","NoUninf_20","Prev_20","NoInf_22.4","NoUninf_22.4","Prev_22.4","NoInf_28.3","NoUninf_28.3","Prev_28.3","NoInf_30","NoUninf_30","Prev_30","NoInf_31.6","NoUninf_31.6","Prev_31.6","NoInf_36.1","NoUninf_36.1","Prev_36.1","NoInf_40","NoUninf_40","Prev_40","NoInf_50","NoUninf_50","Prev_50","NoInf_60","NoUninf_60","Prev_60","NoInf_70","NoUninf_70","Prev_70","NoInf_80","NoUninf_80","Prev_80","NoInf_90","NoUninf_90","Prev_90","NoInf_100","NoUninf_100","Prev_100","NoInf_110","NoUninf_110","Prev_110"
"6784","79618812","79618812-2012-08-29",90,70,2012-08-29,"HA1",2012,"M","Adult",11845.1612903226,0,0,4,0,0,9,0,2,17,0.105263157894737,2,21,0.0869565217391304,4,30,0.117647058823529,5,33,0.131578947368421,5,35,0.125,7,44,0.137254901960784,7,51,0.120689655172414,7,53,0.116666666666667,13,71,0.154761904761905,16,81,0.164948453608247,18,102,0.15,22,126,0.148648648648649,28,153,0.154696132596685,31,178,0.148325358851675,31,190,0.14027149321267
"6785","79618812","79618812-2012-08-30",70,60,2012-08-30,"HA1",2012,"M","Adult",131.884057971014,0,0,2,0,3,8,0.272727272727273,4,12,0.25,4,14,0.222222222222222,5,24,0.172413793103448,8,29,0.216216216216216,8,34,0.19047619047619,9,48,0.157894736842105,11,59,0.157142857142857,11,65,0.144736842105263,17,111,0.1328125,22,134,0.141025641025641,28,170,0.141414141414141,32,195,0.140969162995595,33,208,0.136929460580913,34,212,0.138211382113821,34,212,0.138211382113821
"6888","79623797","79623797-2012-08-30",10,40,2012-08-30,"HA1",2012,"M","Adult",872.222222222222,0,1,1,0.5,1,15,0.0625,1,22,0.0434782608695652,2,27,0.0689655172413793,3,46,0.0612244897959184,3,50,0.0566037735849057,5,60,0.0769230769230769,8,72,0.1,8,80,0.0909090909090909,12,88,0.12,15,105,0.125,18,118,0.132352941176471,22,136,0.139240506329114,26,159,0.140540540540541,28,183,0.132701421800948,34,209,0.139917695473251,34,212,0.138211382113821
"7030","79630010","79630010-2012-11-07",20,80,2012-11-07,"HA1",2012,"F","Adult",733.333333333333,0,0,3,0,6,18,0.25,14,42,0.25,19,59,0.243589743589744,35,98,0.263157894736842,39,123,0.240740740740741,42,133,0.24,43,144,0.229946524064171,44,160,0.215686274509804,44,169,0.206572769953052,57,220,0.205776173285199,63,292,0.177464788732394,72,366,0.164383561643836,82,447,0.155009451795841,94,525,0.151857835218094,98,558,0.149390243902439,103,570,0.153046062407132
"7076","79630840","79630840-2012-10-09",70,70,2012-10-09,"HA1",2012,"F","NotAdult",35200,0,0,4,0,0,12,0,3,24,0.111111111111111,6,38,0.136363636363636,9,62,0.126760563380282,13,67,0.1625,14,75,0.157303370786517,20,106,0.158730158730159,27,124,0.178807947019868,27,127,0.175324675324675,39,181,0.177272727272727,49,232,0.174377224199288,69,275,0.200581395348837,73,336,0.178484107579462,74,365,0.168564920273349,75,382,0.164113785557987,75,382,0.164113785557987
"7080","79631102","79631102-2012-12-20",20,10,2012-12-20,"HA1",2012,"F","Adult",62.135922330097,1,4,6,0.4,7,39,0.152173913043478,10,78,0.113636363636364,14,100,0.12280701754386,18,150,0.107142857142857,20,162,0.10989010989011,20,169,0.105820105820106,25,191,0.115740740740741,28,207,0.119148936170213,31,221,0.123015873015873,40,276,0.126582278481013,52,329,0.136482939632546,69,394,0.14902807775378,87,478,0.153982300884956,108,593,0.154065620542083,130,709,0.154946364719905,137,749,0.154627539503386
"7091","79632292","79632292-2012-09-13",100,10,2012-09-13,"HA1",2012,"M","Adult",354.545454545455,1,2,4,0.333333333333333,4,8,0.333333333333333,4,10,0.285714285714286,5,17,0.227272727272727,6,24,0.2,6,27,0.181818181818182,6,31,0.162162162162162,8,35,0.186046511627907,8,38,0.173913043478261,8,38,0.173913043478261,11,45,0.196428571428571,14,65,0.177215189873418,17,95,0.151785714285714,21,124,0.144827586206897,26,164,0.136842105263158,33,217,0.132,40,252,0.136986301369863
"7096","79632292","79632292-2012-10-09",40,10,2012-10-09,"HA1",2012,"M","Adult",1527.27272727273,0,0,0,NA,0,8,0,1,25,0.0384615384615385,3,31,0.0882352941176471,4,47,0.0784313725490196,5,50,0.0909090909090909,7,60,0.104477611940299,11,81,0.119565217391304,11,95,0.10377358490566,11,107,0.0932203389830508,20,171,0.104712041884817,32,205,0.135021097046413,43,247,0.148275862068966,53,278,0.16012084592145,61,327,0.157216494845361,75,380,0.164835164835165,75,382,0.164113785557987
"7190","79637279","79637279-2012-09-12",0,100,2012-09-12,"HA1",2012,"M","Adult",12.1212121212121,0,1,4,0.2,2,10,0.166666666666667,3,14,0.176470588235294,4,19,0.173913043478261,8,21,0.275862068965517,8,23,0.258064516129032,9,27,0.25,11,33,0.25,12,36,0.25,13,42,0.236363636363636,16,58,0.216216216216216,20,80,0.2,22,101,0.178861788617886,28,134,0.172839506172839,32,168,0.16,38,204,0.15702479338843,40,233,0.146520146520147
"7218","79638280","79638280-2012-09-27",30,60,2012-09-27,"HA1",2012,"F","Adult",172.093023255814,1,0,2,0,2,15,0.117647058823529,4,26,0.133333333333333,6,34,0.15,12,51,0.19047619047619,21,61,0.25609756097561,22,71,0.236559139784946,26,80,0.245283018867925,29,101,0.223076923076923,34,113,0.231292517006803,44,192,0.186440677966102,49,235,0.172535211267606,53,278,0.16012084592145,57,308,0.156164383561644,61,319,0.160526315789474,61,319,0.160526315789474,61,319,0.160526315789474
